subset,asset,split,label,filename,parent_id,method
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0016_cadeia_isolador_vidro_340.jpg,12-2020_DJI_0016,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0018_cadeia_isolador_vidro_342.jpg,12-2020_DJI_0018,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0028_cadeia_isolador_vidro_347.jpg,12-2020_DJI_0028,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0030_cadeia_isolador_vidro_349.jpg,12-2020_DJI_0030,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0033_cadeia_isolador_vidro_352.jpg,12-2020_DJI_0033,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0045_cadeia_isolador_vidro_357.jpg,12-2020_DJI_0045,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0048_cadeia_isolador_vidro_360.jpg,12-2020_DJI_0048,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0053_cadeia_isolador_vidro_365.jpg,12-2020_DJI_0053,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0055_cadeia_isolador_vidro_367.jpg,12-2020_DJI_0055,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0069_cadeia_isolador_vidro_302.jpg,12-2020_DJI_0069,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0070_cadeia_isolador_vidro_303.jpg,12-2020_DJI_0070,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0071_cadeia_isolador_vidro_304.jpg,12-2020_DJI_0071,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0088_cadeia_isolador_vidro_316.jpg,12-2020_DJI_0088,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0092_cadeia_isolador_vidro_320.jpg,12-2020_DJI_0092,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0094_cadeia_isolador_vidro_322.jpg,12-2020_DJI_0094,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0127_cadeia_isolador_vidro_263.jpg,12-2020_DJI_0127,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0130_cadeia_isolador_vidro_266.jpg,12-2020_DJI_0130,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0136_cadeia_isolador_vidro_272.jpg,12-2020_DJI_0136,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0143_cadeia_isolador_vidro_274.jpg,12-2020_DJI_0143,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0150_cadeia_isolador_vidro_281.jpg,12-2020_DJI_0150,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0152_cadeia_isolador_vidro_283.jpg,12-2020_DJI_0152,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0166_cadeia_isolador_vidro_289.jpg,12-2020_DJI_0166,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0168_cadeia_isolador_vidro_291.jpg,12-2020_DJI_0168,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0176_cadeia_isolador_vidro_298.jpg,12-2020_DJI_0176,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0186_cadeia_isolador_vidro_202.jpg,12-2020_DJI_0186,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0190_cadeia_isolador_vidro_206.jpg,12-2020_DJI_0190,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0192_cadeia_isolador_vidro_208.jpg,12-2020_DJI_0192,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0193_cadeia_isolador_vidro_209.jpg,12-2020_DJI_0193,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0194_cadeia_isolador_vidro_210.jpg,12-2020_DJI_0194,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0201_cadeia_isolador_vidro_214.jpg,12-2020_DJI_0201,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0204_cadeia_isolador_vidro_215.jpg,12-2020_DJI_0204,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0210_cadeia_isolador_vidro_222.jpg,12-2020_DJI_0210,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0212_cadeia_isolador_vidro_225.jpg,12-2020_DJI_0212,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0215_cadeia_isolador_vidro_227.jpg,12-2020_DJI_0215,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0223_cadeia_isolador_vidro_238.jpg,12-2020_DJI_0223,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0226_cadeia_isolador_vidro_241.jpg,12-2020_DJI_0226,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0233_cadeia_isolador_vidro_248.jpg,12-2020_DJI_0233,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0241_cadeia_isolador_vidro_249.jpg,12-2020_DJI_0241,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0243_cadeia_isolador_vidro_251.jpg,12-2020_DJI_0243,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0245_cadeia_isolador_vidro_253.jpg,12-2020_DJI_0245,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0269_cadeia_isolador_vidro_168.jpg,12-2020_DJI_0269,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0273_cadeia_isolador_vidro_172.jpg,12-2020_DJI_0273,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0281_cadeia_isolador_vidro_174.jpg,12-2020_DJI_0281,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0286_cadeia_isolador_vidro_178.jpg,12-2020_DJI_0286,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0292_cadeia_isolador_vidro_184.jpg,12-2020_DJI_0292,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0303_cadeia_isolador_vidro_188.jpg,12-2020_DJI_0303,regex
supervised,glass-insulator,train,good,Fotos 01-12-2020_DJI_0305_cadeia_isolador_vidro_190.jpg,12-2020_DJI_0305,regex
