phash,n,cross_subset,paths
f7f7f7f7f7000000,3,True,InsPLAD-det/train/239-1_DJI_0280.jpg;InsPLAD-det/train/239-1_DJI_0283.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 02-12-2020_DJI_0195_cadeia_isolador_vidro_581.jpg
f7f7f7f7f7640000,3,False,InsPLAD-det/train/239-1_DJI_0285.jpg;InsPLAD-det/train/239-1_DJI_0287.jpg;InsPLAD-det/train/239-1_DJI_0289.jpg
f7f7f7f7f7740000,2,False,InsPLAD-det/train/239-1_DJI_0286.jpg;InsPLAD-det/train/239-1_DJI_0288.jpg
fffffffb00000000,2,False,InsPLAD-det/train/239-2_DJI_0146.jpg;InsPLAD-det/train/276-2_DJI_0452.jpg
ffff272400000000,4,False,InsPLAD-det/train/241-2_DJI_0555.jpg;InsPLAD-det/train/241-2_DJI_0556.jpg;InsPLAD-det/train/241-2_DJI_0557.jpg;InsPLAD-det/train/241-2_DJI_0560.jpg
e7e7e7e7e7e7e767,2,False,InsPLAD-det/train/242-1_DJI_0395.jpg;InsPLAD-det/train/247-2_DJI_0216.jpg
e7e7e7e7e7e7e7e7,19,True,InsPLAD-det/train/242-1_DJI_0396.jpg;InsPLAD-det/train/247-2_DJI_0275.jpg;InsPLAD-det/train/247-2_DJI_0276.jpg;InsPLAD-det/train/247-2_DJI_0278.jpg;InsPLAD-det/train/247-2_DJI_0279.jpg;InsPLAD-det/train/247-2_DJI_0281.jpg;InsPLAD-det/train/247-2_DJI_0282.jpg;InsPLAD-det/train/247-2_DJI_0285.jpg;InsPLAD-det/train/247-2_DJI_0286.jpg;InsPLAD-det/train/247-2_DJI_0287.jpg;InsPLAD-det/train/247-2_DJI_0213.jpg;InsPLAD-det/train/247-2_DJI_0214.jpg;InsPLAD-det/train/246-2_DJI_0418.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 25-11-2020_DJI_0550_cadeia_isolador_vidro_1644.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 25-11-2020_DJI_0551_cadeia_isolador_vidro_1645.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 25-11-2020_DJI_0556_cadeia_isolador_vidro_1650.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 30-11-2020_DJI_0262_cadeia_isolador_vidro_2790.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 30-11-2020_DJI_0322_cadeia_isolador_vidro_2756.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 30-11-2020_DJI_0443_cadeia_isolador_vidro_2692.jpg
cfcfcfcfce4c4c4c,2,False,InsPLAD-det/train/242-1_DJI_0411.jpg;InsPLAD-det/train/242-1_DJI_0412.jpg
f7f7f37272121010,2,False,InsPLAD-det/train/242-1_DJI_0442.jpg;InsPLAD-det/train/242-1_DJI_0443.jpg
f7f7f77700000000,2,False,InsPLAD-det/train/243-1_DJI_0263.jpg;InsPLAD-det/train/244-1_DJI_0097.jpg
4f4f484e4f4f4e4f,2,False,InsPLAD-det/train/243-1_DJI_0298.jpg;InsPLAD-det/train/243-1_DJI_0299.jpg
7f7f7f3f3f000000,2,True,InsPLAD-det/train/243-2_DJI_0163.jpg;unsupervised_anomaly_detection/damper-preformed/train/good/Fotos 16-12-2020_DJI_0163_amortecedor_preformado_474.jpg
cfcfcfcfcfcfcfcf,2,False,InsPLAD-det/train/247-2_DJI_0283.jpg;InsPLAD-det/train/246-2_DJI_0415.jpg
4f4f4f4f4f4f4e4e,2,False,InsPLAD-det/train/248-2_DJI_0076.jpg;InsPLAD-det/train/248-2_DJI_0077.jpg
ffffffffff000000,10,True,InsPLAD-det/train/249-1_DJI_0002.jpg;InsPLAD-det/train/282-2_DJI_0195.jpg;InsPLAD-det/train/282-2_DJI_0196.jpg;InsPLAD-det/train/282-2_DJI_0197.jpg;InsPLAD-det/train/282-2_DJI_0198.jpg;InsPLAD-det/train/282-2_DJI_0199.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 02-12-2020_DJI_0196_cadeia_isolador_vidro_582.jpg;unsupervised_anomaly_detection/damper-preformed/train/good/Fotos 14-12-2020_DJI_0002_amortecedor_preformado_389.jpg;unsupervised_anomaly_detection/damper-preformed/train/good/Fotos 16-11-2020_DJI_0151_amortecedor_preformado_410.jpg;unsupervised_anomaly_detection/damper-stockbridge/test/good/Fotos 04-12-2020_DJI_0760_amortecedor_stockbridge_1132.jpg
efefefefef4f0000,2,False,InsPLAD-det/train/247-1_DJI_0392.jpg;InsPLAD-det/train/246-2_DJI_0426.jpg
cfcfcfcfcfcfcf00,2,False,InsPLAD-det/train/247-2_DJI_0223.jpg;InsPLAD-det/train/247-2_DJI_0224.jpg
efefefefefefef00,3,False,InsPLAD-det/train/247-2_DJI_0225.jpg;InsPLAD-det/train/247-2_DJI_0227.jpg;InsPLAD-det/train/247-2_DJI_0229.jpg
e7e7e7e7e7e7e700,3,True,InsPLAD-det/train/247-2_DJI_0228.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 26-11-2020_DJI_0414_cadeia_isolador_vidro_1945.jpg;supervised_fault_classification/defect_supervised/glass-insulator/train/good/Fotos 30-11-2020_DJI_0040_cadeia_isolador_vidro_2958.jpg
f7f7f7f700000000,2,False,InsPLAD-det/train/247-2_DJI_0250.jpg;InsPLAD-det/train/289-1_DJI_0513.jpg
e7e7e7e7e7270000,2,False,InsPLAD-det/train/246-2_DJI_0422.jpg;InsPLAD-det/train/246-2_DJI_0428.jpg
efefefefef030000,2,False,InsPLAD-det/train/246-2_DJI_0427.jpg;InsPLAD-det/train/246-2_DJI_0429.jpg
ffffff4c00000000,3,False,InsPLAD-det/train/246-2_DJI_0443.jpg;InsPLAD-det/train/246-2_DJI_0446.jpg;InsPLAD-det/train/246-2_DJI_0448.jpg
efefefefef400000,2,False,InsPLAD-det/train/246-2_DJI_0488.jpg;InsPLAD-det/train/246-2_DJI_0493.jpg
efefefefefef0000,2,False,InsPLAD-det/train/247-1_DJI_0309.jpg;InsPLAD-det/train/247-1_DJI_0310.jpg
efefefefefe00000,2,False,InsPLAD-det/train/247-1_DJI_0314.jpg;InsPLAD-det/train/247-1_DJI_0316.jpg
dfdfdfdfdfdf0000,2,False,InsPLAD-det/train/247-1_DJI_0317.jpg;InsPLAD-det/train/244-1_DJI_0123.jpg
e7e7e7e767242424,2,False,InsPLAD-det/train/244-2_DJI_0020.jpg;InsPLAD-det/train/244-2_DJI_0022.jpg
e7e7e7e7e7672424,2,False,InsPLAD-det/train/244-2_DJI_0024.jpg;InsPLAD-det/train/244-2_DJI_0025.jpg
efefefe724242026,2,False,InsPLAD-det/train/244-2_DJI_0041.jpg;InsPLAD-det/train/244-2_DJI_0042.jpg
e7e7e7e766242424,2,False,InsPLAD-det/train/244-2_DJI_0043.jpg;InsPLAD-det/train/244-2_DJI_0044.jpg
f6f6f7f7f7100000,2,False,InsPLAD-det/train/244-2_DJI_0046.jpg;InsPLAD-det/train/244-2_DJI_0047.jpg
ffff040000000000,3,False,InsPLAD-det/train/255-1_DJI_0277.jpg;InsPLAD-det/train/254-1_DJI_0332.jpg;InsPLAD-det/train/279-1_DJI_0073.jpg
