crop_id,parent_id,source_subset,source_split,assigned_split,asset,label,candidate_path,included_in_t3,exclusion_reason
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_0,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_0.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_1,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_1.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_2,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_2.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_3,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_3.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_4,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_4.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_5,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_5.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_6,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_6.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_7,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_7.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0293_248_8,02-06-2021_DJI_0293_248,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0293_248_8.jpg,True,included
sup_polymer-insulator-upper-shackle_train_Fotos 19-10-2020_DJI_0085_manilha_isolador_superior_18,Fotos 19-10-2020_DJI_0085_manilha_isolador_superior,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/Fotos 19-10-2020_DJI_0085_manilha_isolador_superior_18.jpg,True,included
unsup_polymer-insulator-upper-shackle_test_Fotos 19-10-2020_DJI_0085_manilha_isolador_superior_18,Fotos 19-10-2020_DJI_0085_manilha_isolador_superior,unsupervised,train,train,polymer-insulator-upper-shackle,rust,unsupervised_anomaly_detection/polymer-insulator-upper-shackle/test/rust/Fotos 19-10-2020_DJI_0085_manilha_isolador_superior_18.jpg,True,included
sup_polymer-insulator-upper-shackle_train_08-06-2021_DJI_0374_412,08-06-2021_DJI_0374,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/08-06-2021_DJI_0374_412.jpg,True,included
unsup_polymer-insulator-upper-shackle_test_08-06-2021_DJI_0374_412,08-06-2021_DJI_0374,unsupervised,train,train,polymer-insulator-upper-shackle,rust,unsupervised_anomaly_detection/polymer-insulator-upper-shackle/test/rust/08-06-2021_DJI_0374_412.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_0,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_0.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_1,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_1.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_2,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_2.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_3,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_3.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_4,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_4.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_5,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_5.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_6,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_6.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_7,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_7.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0527_275_8,02-06-2021_DJI_0527_275,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0527_275_8.jpg,True,included
sup_polymer-insulator-upper-shackle_train_02-06-2021_DJI_0643_293,02-06-2021_DJI_0643,supervised,train,train,polymer-insulator-upper-shackle,corrosão,supervised_fault_classification/defect_supervised/polymer-insulator-upper-shackle/train/corrosão/02-06-2021_DJI_0643_293.jpg,True,included
