task,split,asset,label,count
T1,test,all,grounding,2089
T1,train,all,grounding,7448
T1,val,all,grounding,1068
T2,test,damper-preformed,good,212
T2,test,damper-stockbridge,defect,4
T2,test,damper-stockbridge,good,4
T2,test,glass-insulator,defect,136
T2,test,glass-insulator,good,142
T2,test,glass-insulator-big-shackle,defect,4
T2,test,glass-insulator-big-shackle,good,3
T2,test,glass-insulator-small-shackle,defect,1
T2,test,glass-insulator-tower-shackle,defect,4
T2,test,lightning-rod-shackle,defect,4
T2,test,lightning-rod-shackle,good,1
T2,test,lightning-rod-suspension,defect,83
T2,test,lightning-rod-suspension,good,71
T2,test,plate,defect,4
T2,test,polymer-insulator,defect,5
T2,test,polymer-insulator,good,5
T2,test,polymer-insulator-lower-shackle,defect,65
T2,test,polymer-insulator-lower-shackle,good,56
T2,test,polymer-insulator-tower-shackle,defect,1
T2,test,polymer-insulator-tower-shackle,good,2
T2,test,polymer-insulator-upper-shackle,defect,208
T2,test,polymer-insulator-upper-shackle,good,178
T2,test,spacer,good,20
T2,test,vari-grip,defect,169
T2,test,vari-grip,good,158
T2,test,yoke,good,335
T2,test,yoke-suspension,defect,78
T2,test,yoke-suspension,good,68
T2,train,damper-preformed,good,694
T2,train,damper-stockbridge,defect,13
T2,train,damper-stockbridge,good,12
T2,train,glass-insulator,defect,586
T2,train,glass-insulator,good,576
T2,train,glass-insulator-big-shackle,defect,3
T2,train,glass-insulator-big-shackle,good,7
T2,train,glass-insulator-tower-shackle,defect,3
T2,train,glass-insulator-tower-shackle,good,7
T2,train,lightning-rod-shackle,good,3
T2,train,lightning-rod-suspension,defect,280
T2,train,lightning-rod-suspension,good,278
T2,train,plate,good,4
T2,train,polymer-insulator,defect,15
T2,train,polymer-insulator,good,16
T2,train,polymer-insulator-lower-shackle,defect,221
T2,train,polymer-insulator-lower-shackle,good,219
T2,train,polymer-insulator-tower-shackle,defect,8
T2,train,polymer-insulator-tower-shackle,good,8
T2,train,polymer-insulator-upper-shackle,defect,582
T2,train,polymer-insulator-upper-shackle,good,610
T2,train,spacer,good,67
T2,train,vari-grip,defect,562
T2,train,vari-grip,good,560
T2,train,yoke,good,1145
T2,train,yoke-suspension,defect,217
T2,train,yoke-suspension,good,253
T2,val,damper-preformed,good,114
T2,val,damper-stockbridge,defect,1
T2,val,damper-stockbridge,good,2
T2,val,glass-insulator,defect,88
T2,val,glass-insulator,good,92
T2,val,glass-insulator-big-shackle,defect,3
T2,val,glass-insulator-small-shackle,good,1
T2,val,lightning-rod-suspension,defect,17
T2,val,lightning-rod-suspension,good,31
T2,val,polymer-insulator,defect,2
T2,val,polymer-insulator,good,1
T2,val,polymer-insulator-lower-shackle,defect,29
T2,val,polymer-insulator-lower-shackle,good,40
T2,val,polymer-insulator-tower-shackle,defect,3
T2,val,polymer-insulator-tower-shackle,good,2
T2,val,polymer-insulator-upper-shackle,defect,85
T2,val,polymer-insulator-upper-shackle,good,87
T2,val,spacer,good,7
T2,val,vari-grip,defect,63
T2,val,vari-grip,good,76
T2,val,yoke,good,181
T2,val,yoke-suspension,defect,64
T2,val,yoke-suspension,good,38
T3,test,damper-stockbridge,good,1422
T3,test,damper-stockbridge,rust,4
T3,test,glass-insulator,good,663
T3,test,glass-insulator,missing-cap,136
T3,test,glass-insulator-big-shackle,good,49
T3,test,glass-insulator-big-shackle,rust,4
T3,test,glass-insulator-small-shackle,good,60
T3,test,glass-insulator-small-shackle,nest,1
T3,test,glass-insulator-tower-shackle,good,35
T3,test,glass-insulator-tower-shackle,rust,4
T3,test,lightning-rod-shackle,good,54
T3,test,lightning-rod-shackle,rust,4
T3,test,lightning-rod-suspension,good,230
T3,test,lightning-rod-suspension,rust,83
T3,test,plate,good,39
T3,test,plate,peeling-paint,4
T3,test,polymer-insulator,good,618
T3,test,polymer-insulator,torned-up,5
T3,test,polymer-insulator-lower-shackle,good,330
T3,test,polymer-insulator-lower-shackle,rust,65
T3,test,polymer-insulator-tower-shackle,good,10
T3,test,polymer-insulator-tower-shackle,rust,1
T3,test,polymer-insulator-upper-shackle,corrosão,184
T3,test,polymer-insulator-upper-shackle,good,388
T3,test,polymer-insulator-upper-shackle,rust,24
T3,test,vari-grip,good,238
T3,test,vari-grip,nest,102
T3,test,vari-grip,rust,67
T3,test,yoke-suspension,good,2382
T3,test,yoke-suspension,rust,78
T3,train,damper-stockbridge,good,4808
T3,train,damper-stockbridge,rust,13
T3,train,glass-insulator,good,2582
T3,train,glass-insulator,missing-cap,586
T3,train,glass-insulator-big-shackle,good,188
T3,train,glass-insulator-big-shackle,rust,3
T3,train,glass-insulator-small-shackle,good,173
T3,train,glass-insulator-tower-shackle,good,148
T3,train,glass-insulator-tower-shackle,rust,3
T3,train,lightning-rod-shackle,good,132
T3,train,lightning-rod-suspension,good,826
T3,train,lightning-rod-suspension,rust,280
T3,train,plate,good,157
T3,train,polymer-insulator,good,2139
T3,train,polymer-insulator,torned-up,15
T3,train,polymer-insulator-lower-shackle,good,1131
T3,train,polymer-insulator-lower-shackle,rust,221
T3,train,polymer-insulator-tower-shackle,good,35
T3,train,polymer-insulator-tower-shackle,rust,8
T3,train,polymer-insulator-upper-shackle,corrosão,486
T3,train,polymer-insulator-upper-shackle,good,1373
T3,train,polymer-insulator-upper-shackle,rust,96
T3,train,vari-grip,good,834
T3,train,vari-grip,nest,302
T3,train,vari-grip,rust,260
T3,train,yoke-suspension,good,8444
T3,train,yoke-suspension,rust,217
T3,val,damper-stockbridge,good,723
T3,val,damper-stockbridge,rust,1
T3,val,glass-insulator,good,354
T3,val,glass-insulator,missing-cap,88
T3,val,glass-insulator-big-shackle,good,22
T3,val,glass-insulator-big-shackle,rust,3
T3,val,glass-insulator-small-shackle,good,30
T3,val,glass-insulator-tower-shackle,good,12
T3,val,lightning-rod-shackle,good,9
T3,val,lightning-rod-suspension,good,102
T3,val,lightning-rod-suspension,rust,17
T3,val,plate,good,18
T3,val,polymer-insulator,good,269
T3,val,polymer-insulator,torned-up,2
T3,val,polymer-insulator-lower-shackle,good,172
T3,val,polymer-insulator-lower-shackle,rust,29
T3,val,polymer-insulator-tower-shackle,good,7
T3,val,polymer-insulator-tower-shackle,rust,3
T3,val,polymer-insulator-upper-shackle,corrosão,70
T3,val,polymer-insulator-upper-shackle,good,182
T3,val,polymer-insulator-upper-shackle,rust,15
T3,val,vari-grip,good,115
T3,val,vari-grip,nest,32
T3,val,vari-grip,rust,31
T3,val,yoke-suspension,good,1256
T3,val,yoke-suspension,rust,64
